current_root,current_page,match_count,quality,high_quality,high_quality_scope,link,match_words,found_in,hops_from_start_root
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1101501158114377729,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1100965998625214465,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1099033610886238208,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/groundwater-grants/,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1098982739062153216,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1096292240417271808,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1094301217487028224,['Water'],href,2
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/make-water-work-champion/,['water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1094048101051125760,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1093718860266532864,['Water'],href,2
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,2
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,3
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/okanagan-waterwise-challenge/,['water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1093692004725415936,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1091924873364946945,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,http://www.facebook.com/OkWaterWise,['Water'],href,3
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/osoyoos-lake-water-science-forum/,['water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1091806223626833920,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1091748423269793792,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,https://twitter.com/OkWaterWise,['Water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,http://www.okwaterwise.ca/,['water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,https://www.makewaterwork.ca/,['water'],href,3
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,3
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/un-world-water-day/,['water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1091386041011978240,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1090675504267567106,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise/status/1090035363777859590,['Water'],href,3
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.youtube.com/'],https://www.youtube.com/user/OKBasinWaterBoard,1,2,False,N\A,/user/OKBasinWaterBoard,['Water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,2,False,N\A,https://www.obwb.ca/tag/water-conservation/,['water'],href,4
['https://www.obwb.ca/'],https://www.obwb.ca/about-the-council/,1,22,True,https://www.obwb.ca/tag/water-conservation-quality-improvement/,https://www.obwb.ca/tag/water-conservation-quality-improvement/,['water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise,1,2,False,N\A,/OkWaterWise,['Water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo_400x400.jpg,['water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,https://pbs.twimg.com/profile_images/892102006/OK_waterwise_logo.jpg,['water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise,['Water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise,['Water'],href,4
['https://twitter.com/'],https://twitter.com/OkWaterWise/status/1099033610886238208,1,2,False,N\A,/OkWaterWise,['Water'],href,4
