current_root,current_url,next_url,match_count,quality,high_quality,high_quality_scope,matched_keywords,found_in
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1103744811440365568,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1103432916158287872,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1102778332175728642,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1101992303831453696,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1101501158114377729,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1100965998625214465,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1099033610886238208,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1098982739062153216,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1096292240417271808,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1094301217487028224,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1094048101051125760,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise/status/1093718860266532864,1,2,False,N\A,['Water'],href
['https://twitter.com/'],https://twitter.com/OkWaterWise,/OkWaterWise,1,2,False,N\A,['Water'],href
